url,title,company,location,closing_date,closing_date_raw,apply_url,scraped_at,details_json,description
https://jobs.af/jobs/aafysr-arshd-shbkh-shft-shb,jobs.af,,,,,,2026-01-17T11:07:44Z,{},"jobs.af
Verifying you are human. This may take a few seconds.
jobs.af needs to review the security of your connection before proceeding.
Verification successful
Waiting for jobs.af to respond...
Enable JavaScript and cookies to continue
Ray ID:
9bf56502bd161c69
Performance & security by
Cloudflare"
https://jobs.af/jobs/adhw-ankshaf-mhswlat,jobs.af,,,,,,2026-01-17T11:07:44Z,{},"jobs.af
Verifying you are human. This may take a few seconds.
jobs.af needs to review the security of your connection before proceeding.
Verification successful
Waiting for jobs.af to respond...
Enable JavaScript and cookies to continue
Ray ID:
9bf565064d4b1c69
Performance & security by
Cloudflare"
https://jobs.af/jobs/adhw-mslky-prwss-dyta-vpS2Aq1iQ,jobs.af,,,,,,2026-01-17T11:07:44Z,{},"jobs.af
Verifying you are human. This may take a few seconds.
jobs.af needs to review the security of your connection before proceeding.
Verification successful
Waiting for jobs.af to respond...
Enable JavaScript and cookies to continue
Ray ID:
9bf56509ad821c69
Performance & security by
Cloudflare"
https://jobs.af/jobs/d-faybr-aw-antrnty-khdmtwnw-karmnd,jobs.af,,,,,,2026-01-17T11:07:44Z,{},"jobs.af
Verifying you are human. This may take a few seconds.
jobs.af needs to review the security of your connection before proceeding.
Verification successful
Waiting for jobs.af to respond...
Enable JavaScript and cookies to continue
Ray ID:
9bf5650d0daa1c69
Performance & security by
Cloudflare"
https://jobs.af/jobs/d-nn-brw-kastn-mslky-gh-y-cpNpVg7CL,jobs.af,,,,,,2026-01-17T11:07:44Z,{},"jobs.af
Verifying you are human. This may take a few seconds.
jobs.af needs to review the security of your connection before proceeding.
Verification successful
Waiting for jobs.af to respond...
Enable JavaScript and cookies to continue
Ray ID:
9bf565106de81c69
Performance & security by
Cloudflare"
https://jobs.af/jobs/d-shbk-tkhnykr,jobs.af,,,,,,2026-01-17T11:07:44Z,{},"jobs.af
Verifying you are human. This may take a few seconds.
jobs.af needs to review the security of your connection before proceeding.
Verification successful
Waiting for jobs.af to respond...
Enable JavaScript and cookies to continue
Ray ID:
9bf56513ce201c69
Performance & security by
Cloudflare"
https://jobs.af/jobs/d-spys-mnjmn-aamryt,jobs.af,,,,,,2026-01-17T11:07:44Z,{},"jobs.af
Verifying you are human. This may take a few seconds.
jobs.af needs to review the security of your connection before proceeding.
Verification successful
Waiting for jobs.af to respond...
Enable JavaScript and cookies to continue
Ray ID:
9bf565174e4c1c69
Performance & security by
Cloudflare"
https://jobs.af/jobs/d-systm-arshd-a-myn,jobs.af,,,,,,2026-01-17T11:07:44Z,{},"jobs.af
Verifying you are human. This may take a few seconds.
jobs.af needs to review the security of your connection before proceeding.
Verification successful
Waiting for jobs.af to respond...
Enable JavaScript and cookies to continue
Ray ID:
9bf5651aaeb51c69
Performance & security by
Cloudflare"
https://jobs.af/jobs/hmis-data-assistance,jobs.af,,,,,,2026-01-17T11:07:44Z,{},"jobs.af
Verifying you are human. This may take a few seconds.
jobs.af needs to review the security of your connection before proceeding.
Verification successful
Waiting for jobs.af to respond...
Enable JavaScript and cookies to continue
Ray ID:
9bf5651e1f0a1c69
Performance & security by
Cloudflare"
https://jobs.af/jobs/ran-back-office-engineer-huawei-otzPc0NUs,jobs.af,,,,,,2026-01-17T11:07:44Z,{},"jobs.af
Verifying you are human. This may take a few seconds.
jobs.af needs to review the security of your connection before proceeding.
Verification successful
Waiting for jobs.af to respond...
Enable JavaScript and cookies to continue
Ray ID:
9bf565219f421c69
Performance & security by
Cloudflare"
